GeoFips,admin_support_waste
29000,208670
29001,(D)
29003,285
29005,(D)
29007,529
29009,859
29011,323
29013,(D)
29015,162
29017,(D)
29019,5668
29021,3697
29023,1408
29025,92
29027,649
29029,1177
29031,2587
29033,(D)
29035,(D)
29037,2888
29039,(D)
29041,88
29043,1468
29045,39
29047,9976
29049,323
29051,3563
29053,(D)
29055,386
29057,(D)
29059,133
29061,82
29063,102
29065,(D)
29067,(D)
29069,(D)
29071,2687
29073,336
29075,114
29077,12389
29079,163
29081,(D)
29083,(D)
29085,54
29087,(D)
29089,(D)
29091,930
29093,98
29095,22181
29097,4967
29099,4921
29101,(D)
29103,(D)
29105,1019
29107,622
29109,368
29111,(D)
29113,1046
29115,(D)
29117,621
29119,(D)
29121,306
29123,(D)
29125,80
29127,(D)
29129,(D)
29131,803
29133,(D)
29135,(D)
29137,(D)
29139,98
29141,257
29143,162
29145,1004
29147,204
29149,(D)
29151,141
29153,(D)
29155,173
29157,(D)
29159,1139
29161,661
29163,(D)
29165,6765
29167,524
29169,809
29171,(D)
29173,256
29175,(D)
29177,(D)
29179,(D)
29181,82
29183,13608
29185,150
29186,299
29187,2089
29189,58853
29195,(D)
29197,(D)
29199,(D)
29201,909
29203,(D)
29205,95
29207,446
29209,922
29211,(D)
29213,3541
29215,330
29217,(D)
29219,508
29221,214
29223,(D)
29225,827
29227,(D)
29229,225
29510,16022
29998,179528
29999,29142
16020,(D)
17860,6038
27620,(D)
27900,5971
28140,88526
41140,4260
41180,110526
44180,15341
14700,3541
22100,2089
22780,809
22800,1461
25300,(D)
28380,(D)
28860,317
30060,1019
32180,(D)
32340,204
33020,529
33620,(D)
38740,1490
39500,"1,741 E"
40620,661
42740,1139
43460,909
47660,(D)
48460,930
89161,"2,518 E"
89164,"3,551 E"
89190,"6,197 E"
89309,6718
89312,"95,653 E"
89448,2651
89476,113123
