GeoFips,GDP (Thousands of dollars)
17000,865310411
17001,3676937
17003,199171
17005,617298
17007,1931882
17009,445261
17011,1340134
17013,121332
17015,506844
17017,675352
17019,11675933
17021,1475299
17023,638351
17025,648382
17027,1310475
17029,2562035
17031,411671713
17033,2875018
17035,360077
17037,4120286
17039,1232780
17041,1100374
17043,91380287
17045,834905
17047,309969
17049,2256812
17051,657542
17053,809178
17055,1362520
17057,1036608
17059,252143
17061,400008
17063,3506911
17065,473389
17067,704037
17069,116883
17071,206080
17073,1618888
17075,1098282
17077,3168157
17079,593232
17081,1876992
17083,562841
17085,910082
17087,258342
17089,24667680
17091,4936861
17093,3303924
17095,1954851
17097,67701128
17099,6108769
17101,520370
17103,1677724
17105,1846437
17107,1176274
17109,1298699
17111,11534353
17113,13155115
17115,7349716
17117,1288245
17119,12118321
17121,1533670
17123,444189
17125,626649
17127,784074
17129,316865
17131,445984
17133,1031460
17135,1426046
17137,1601326
17139,743762
17141,3066694
17143,13521905
17145,768271
17147,528937
17149,641646
17151,102042
17153,263742
17155,377544
17157,1650387
17159,1058155
17161,11711580
17163,11942370
17165,893041
17167,11873339
17169,280987
17171,197150
17173,835983
17175,247009
17177,2133891
17179,9406637
17181,495647
17183,3623054
17185,405980
17187,820734
17189,1080178
17191,629450
17193,586678
17195,2330100
17197,31475135
17199,3105878
17201,14817252
17203,1267496
17998,794994559
17999,70315851
14010,13155115
16020,4498284
16060,6532378
16580,12204870
16980,689464744
19180,3623054
19340,22973999
19500,7349716
28100,4936861
37900,25923844
40420,16749134
41180,169839353
44100,12190205
15460,2677602
16460,1533670
16660,2922112
19940,1677724
20820,2256812
22800,2669216
23300,2133891
23660,1954851
27300,1798476
30660,1176274
31380,1298699
34500,1876992
36837,7826448
37140,5601329
38700,1846437
39500,3921183
40300,3066694
44580,2330100
45380,1475299
89145,15001552
89161,5346818
89164,6071905
89176,706627638
89209,27936667
89221,4007824
89424,6800724
89448,5489076
89466,21949719
89476,173712457
89522,16640254
16984,549568401
20994,32091889
29404,74631794
